genre_id,genre_name
1,Art
2,Biography
3,Business
4,Chick Lit
5,Children's
6,Christian
7,Classics
8,Comics
9,Contemporary
10,Cookbooks
11,Crime
12,Ebooks
13,Fantasy
14,Fiction
15,Gay and Lesbian
16,Graphic Novels
17,Historical Fiction
18,History
19,Horror
20,Humor and Comedy
21,Manga
22,Memoir
23,Music
24,Mystery
25,Nonfiction
26,Paranormal
27,Philosophy
28,Poetry
29,Psychology
30,Religion
31,Romance
32,Science
33,Science Fiction
34,Self Help
35,Suspense
36,Spirituality
37,Sports
38,Thriller
39,Travel
40,Young Adult
